Subject,Scale_Label,Player_1-Player_2,Scale_Length,Ratio_0,Ratio_1,Ratio_2,Ratio_3,Ratio_4,Ratio_5,Ratio_6,Ratio_7,Ratio_8,Ratio_9,Ratio_10,Ratio_11,Ratio_12,Ratio_13,Ratio_14,SwitchPoint_0,SwitchPoint_1,SwitchPoint_2,SwitchPoint_3,SwitchPoint_4,SwitchPoint_5,SwitchPoint_6,SwitchPoint_7,SwitchPoint_8,SwitchPoint_9,SwitchPoint_10,SwitchPoint_11,SwitchPoint_12,SwitchPoint_13,SwitchPoint_14,SwitchPoint_15,Choice_0,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6,Choice_7,Choice_8,Choice_9,Choice_10,Choice_11,Choice_12,Choice_13,Choice_14,numSwitches,Num_Avgd_SPs,Max_SP_Consistency,Avgd_SPs,Avgd_SP_range,Avgd_SP_rankRange,Num_Inconsistent,Consistency,WTRerror,WTR,WTRLoc,Scale_Label,Player_1-Player_2,Scale_Length,Ratio_0,Ratio_1,Ratio_2,Ratio_3,Ratio_4,Ratio_5,Ratio_6,Ratio_7,Ratio_8,Ratio_9,Ratio_10,Ratio_11,Ratio_12,Ratio_13,Ratio_14,SwitchPoint_0,SwitchPoint_1,SwitchPoint_2,SwitchPoint_3,SwitchPoint_4,SwitchPoint_5,SwitchPoint_6,SwitchPoint_7,SwitchPoint_8,SwitchPoint_9,SwitchPoint_10,SwitchPoint_11,SwitchPoint_12,SwitchPoint_13,SwitchPoint_14,SwitchPoint_15,Choice_0,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6,Choice_7,Choice_8,Choice_9,Choice_10,Choice_11,Choice_12,Choice_13,Choice_14,numSwitches,Num_Avgd_SPs,Max_SP_Consistency,Avgd_SPs,Avgd_SP_range,Avgd_SP_rankRange,Num_Inconsistent,Consistency,WTRerror,WTR,WTRLoc
2000,DecimalCloseOther,You:CloseOther,15,1.5,1.4,1.3,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1.5,1.45,1.35,1.25,1.15,1.05,0.95,0.8500000000000001,0.75,0.6499999999999999,0.55,0.45,0.35,0.25,0.15000000000000002,0.1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1.0,0.649999999999999,0.0,0.0,0,1.0,0.0,0.6499999999999999,Internal,DecimalAcquaintance,You:Acquaintance,15,1.5,1.4,1.3,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1.5,1.45,1.35,1.25,1.15,1.05,0.95,0.8500000000000001,0.75,0.6499999999999999,0.55,0.45,0.35,0.25,0.15000000000000002,0.1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1.0,0.649999999999999,0.0,0.0,0,1.0,0.0,0.6499999999999999,Internal
2001,DecimalCloseOther,You:CloseOther,15,1.5,1.4,1.3,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1.5,1.45,1.35,1.25,1.15,1.05,0.95,0.8500000000000001,0.75,0.6499999999999999,0.55,0.45,0.35,0.25,0.15000000000000002,0.1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1.0,0.9,0.0,0.0,0,1.0,0.0,0.95,Internal,DecimalAcquaintance,You:Acquaintance,15,1.5,1.4,1.3,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1.5,1.45,1.35,1.25,1.15,1.05,0.95,0.8500000000000001,0.75,0.6499999999999999,0.55,0.45,0.35,0.25,0.15000000000000002,0.1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1.0,0.4,0.0,0.0,0,1.0,0.0,0.45,Internal
2002,DecimalCloseOther,You:CloseOther,15,1.5,1.4,1.3,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1.5,1.45,1.35,1.25,1.15,1.05,0.95,0.8500000000000001,0.75,0.6499999999999999,0.55,0.45,0.35,0.25,0.15000000000000002,0.1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1.0,0.9,0.0,0.0,0,1.0,0.0,0.95,Internal,DecimalAcquaintance,You:Acquaintance,15,1.5,1.4,1.3,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1.5,1.45,1.35,1.25,1.15,1.05,0.95,0.8500000000000001,0.75,0.6499999999999999,0.55,0.45,0.35,0.25,0.15000000000000002,0.1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1.0,0.5,0.0,0.0,0,1.0,0.0,0.55,Internal
2003,DecimalCloseOther,You:CloseOther,15,1.5,1.4,1.3,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1.5,1.45,1.35,1.25,1.15,1.05,0.95,0.8500000000000001,0.75,0.6499999999999999,0.55,0.45,0.35,0.25,0.15000000000000002,0.1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,3,1,0.9333333333333333,0.3,0.0,0.0,1,0.9333333333333333,0.7500000000000001,0.35,Internal,DecimalAcquaintance,You:Acquaintance,15,1.5,1.4,1.3,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1.5,1.45,1.35,1.25,1.15,1.05,0.95,0.8500000000000001,0.75,0.6499999999999999,0.55,0.45,0.35,0.25,0.15000000000000002,0.1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,5,1,0.8666666666666667,0.1500000000000000,0.0,0.0,2,0.8666666666666667,1.6999999999999997,0.15000000000000002,Internal
2004,DecimalCloseOther,You:CloseOther,15,1.5,1.4,1.3,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1.5,1.45,1.35,1.25,1.15,1.05,0.95,0.8500000000000001,0.75,0.6499999999999999,0.55,0.45,0.35,0.25,0.15000000000000002,0.1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,3,2,0.8666666666666667,0.95;0.5,0.3999999999999999,4.0,4,0.7333333333333333,0.40000000000000013,0.75,Internal,DecimalAcquaintance,You:Acquaintance,15,1.5,1.4,1.3,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1.5,1.45,1.35,1.25,1.15,1.05,0.95,0.8500000000000001,0.75,0.6499999999999999,0.55,0.45,0.35,0.25,0.15000000000000002,0.1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,3,1,0.9333333333333333,0.649999999999999,0.0,0.0,1,0.9333333333333333,0.3499999999999999,0.6499999999999999,Internal
2005,DecimalCloseOther,You:CloseOther,15,1.5,1.4,1.3,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1.5,1.45,1.35,1.25,1.15,1.05,0.95,0.8500000000000001,0.75,0.6499999999999999,0.55,0.45,0.35,0.25,0.15000000000000002,0.1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1.0,0.9,0.0,0.0,0,1.0,0.0,0.95,Internal,DecimalAcquaintance,You:Acquaintance,15,1.5,1.4,1.3,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1.5,1.45,1.35,1.25,1.15,1.05,0.95,0.8500000000000001,0.75,0.6499999999999999,0.55,0.45,0.35,0.25,0.15000000000000002,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1.0,0.,0.0,0.0,0,1.0,0.0,0.1,External
2006,DecimalCloseOther,You:CloseOther,15,1.5,1.4,1.3,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1.5,1.45,1.35,1.25,1.15,1.05,0.95,0.8500000000000001,0.75,0.6499999999999999,0.55,0.45,0.35,0.25,0.15000000000000002,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1.0,0.,0.0,0.0,0,1.0,0.0,0.1,External,DecimalAcquaintance,You:Acquaintance,15,1.5,1.4,1.3,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1.5,1.45,1.35,1.25,1.15,1.05,0.95,0.8500000000000001,0.75,0.6499999999999999,0.55,0.45,0.35,0.25,0.15000000000000002,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1.0,0.,0.0,0.0,0,1.0,0.0,0.1,External
2007,DecimalCloseOther,You:CloseOther,15,1.5,1.4,1.3,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1.5,1.45,1.35,1.25,1.15,1.05,0.95,0.8500000000000001,0.75,0.6499999999999999,0.55,0.45,0.35,0.25,0.15000000000000002,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1.0,0.,0.0,0.0,0,1.0,0.0,0.1,External,DecimalAcquaintance,You:Acquaintance,15,1.5,1.4,1.3,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1.5,1.45,1.35,1.25,1.15,1.05,0.95,0.8500000000000001,0.75,0.6499999999999999,0.55,0.45,0.35,0.25,0.15000000000000002,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1.0,0.,0.0,0.0,0,1.0,0.0,0.1,External
2008,DecimalCloseOther,You:CloseOther,15,1.5,1.4,1.3,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1.5,1.45,1.35,1.25,1.15,1.05,0.95,0.8500000000000001,0.75,0.6499999999999999,0.55,0.45,0.35,0.25,0.15000000000000002,0.1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,0.9333333333333333,0.2,0.0,0.0,1,0.9333333333333333,1.15,0.25,Internal,DecimalAcquaintance,You:Acquaintance,15,1.5,1.4,1.3,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1.5,1.45,1.35,1.25,1.15,1.05,0.95,0.8500000000000001,0.75,0.6499999999999999,0.55,0.45,0.35,0.25,0.15000000000000002,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1.0,0.2,0.0,0.0,0,1.0,0.0,0.25,Internal
2009,DecimalCloseOther,You:CloseOther,15,1.5,1.4,1.3,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1.5,1.45,1.35,1.25,1.15,1.05,0.95,0.8500000000000001,0.75,0.6499999999999999,0.55,0.45,0.35,0.25,0.15000000000000002,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1.0,0.,0.0,0.0,0,1.0,0.0,0.1,External,DecimalAcquaintance,You:Acquaintance,15,1.5,1.4,1.3,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1.5,1.45,1.35,1.25,1.15,1.05,0.95,0.8500000000000001,0.75,0.6499999999999999,0.55,0.45,0.35,0.25,0.15000000000000002,0.1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,0.9333333333333333,0.,0.0,0.0,1,0.9333333333333333,0.19999999999999998,0.1,Internal
