Subject,Scale_Label,Player_1-Player_2,Scale_Length,Ratio_0,Ratio_1,Ratio_2,Ratio_3,Ratio_4,Ratio_5,Ratio_6,Ratio_7,Ratio_8
4004,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1,0.714285714,0.6,0.5,0.333333333
7001,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1,0.714285714,0.6,0.5,0.333333333
7002,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1,0.714285714,0.6,0.5,0.333333333
7003,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1,0.714285714,0.6,0.5,0.333333333
7005,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1,0.714285714,0.6,0.5,0.333333333
,,,,,,,,,,,,
Ratio_9,Ratio_10,Ratio_11,SwitchPoint_0,SwitchPoint_1,SwitchPoint_2,SwitchPoint_3,SwitchPoint_4,SwitchPoint_5,SwitchPoint_6,SwitchPoint_7,SwitchPoint_8,SwitchPoint_9
0.2,0.153846154,0.1,2.2,2,1.6,1.3,1.1,0.857142857,0.657142857,0.55,0.416666667,0.266666667
0.2,0.153846154,0.1,2.2,2,1.6,1.3,1.1,0.857142857,0.657142857,0.55,0.416666667,0.266666667
0.2,0.153846154,0.1,2.2,2,1.6,1.3,1.1,0.857142857,0.657142857,0.55,0.416666667,0.266666667
0.2,0.153846154,0.1,2.2,2,1.6,1.3,1.1,0.857142857,0.657142857,0.55,0.416666667,0.266666667
0.2,0.153846154,0.1,2.2,2,1.6,1.3,1.1,0.857142857,0.657142857,0.55,0.416666667,0.266666667
,,,,,,,,,,,,
SwitchPoint_10,SwitchPoint_11,SwitchPoint_12,Choice_0,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6,Choice_7,Choice_8,Choice_9
0.176923077,0.126923077,0.1,1,1,1,1,1,1,1,1,1,1
0.176923077,0.126923077,0.1,2,1,2,2,1,2,1,2,1,1
0.176923077,0.126923077,0.1,1,1,1,2,2,1,2,1,1,1
0.176923077,0.126923077,0.1,1,1,1,1,1,1,2,1,1,1
0.176923077,0.126923077,0.1,2,2,1,2,2,1,2,1,1,1
,,,,,,,,,,,,
Choice_10,Choice_11,Num_Avgd_SPs,Max_SP_Consistency,Avgd_SPs,Avgd_SP_range,Avgd_SP_rankRange,Num_Inconsistent,Consistency,WTRerror,WTR,WTRLoc,Scale_Label
2,1,2,0.916666667,0.17692307692307693;0.,0.076923077,2,2,0.833333333,0.053846154,0.138461538,Internal,Stranger
1,1,1,0.583333333,0,0,0,5,0.583333333,5.514285714,0.1,Internal,Stranger
1,1,1,0.75,0,0,0,3,0.75,2.5,0.1,Internal,Stranger
1,1,1,0.916666667,0,0,0,1,0.916666667,0.5,0.1,Internal,Stranger
1,1,1,0.583333333,0,0,0,5,0.583333333,6.3,0.1,Internal,Stranger
,,,,,,,,,,,,
Player_1-Player_2,Scale_Length,Ratio_0,Ratio_1,Ratio_2,Ratio_3,Ratio_4,Ratio_5,Ratio_6,Ratio_7,Ratio_8,Ratio_9,Ratio_10
Child:Stranger,12,2.2,1.8,1.4,1.2,1,0.714285714,0.6,0.5,0.333333333,0.2,0.153846154
Child:Stranger,12,2.2,1.8,1.4,1.2,1,0.714285714,0.6,0.5,0.333333333,0.2,0.153846154
Child:Stranger,12,2.2,1.8,1.4,1.2,1,0.714285714,0.6,0.5,0.333333333,0.2,0.153846154
Child:Stranger,12,2.2,1.8,1.4,1.2,1,0.714285714,0.6,0.5,0.333333333,0.2,0.153846154
Child:Stranger,12,2.2,1.8,1.4,1.2,1,0.714285714,0.6,0.5,0.333333333,0.2,0.153846154
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Ratio_11,SwitchPoint_0,SwitchPoint_1,SwitchPoint_2,SwitchPoint_3,SwitchPoint_4,SwitchPoint_5,SwitchPoint_6,SwitchPoint_7,SwitchPoint_8,SwitchPoint_9,SwitchPoint_10,SwitchPoint_11
0.1,2.2,2,1.6,1.3,1.1,0.857142857,0.657142857,0.55,0.416666667,0.266666667,0.176923077,0.126923077
0.1,2.2,2,1.6,1.3,1.1,0.857142857,0.657142857,0.55,0.416666667,0.266666667,0.176923077,0.126923077
0.1,2.2,2,1.6,1.3,1.1,0.857142857,0.657142857,0.55,0.416666667,0.266666667,0.176923077,0.126923077
0.1,2.2,2,1.6,1.3,1.1,0.857142857,0.657142857,0.55,0.416666667,0.266666667,0.176923077,0.126923077
0.1,2.2,2,1.6,1.3,1.1,0.857142857,0.657142857,0.55,0.416666667,0.266666667,0.176923077,0.126923077
,,,,,,,,,,,,
SwitchPoint_12,Choice_0,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6,Choice_7,Choice_8,Choice_9,Choice_10,Choice_11
0.1,1,1,1,1,1,1,1,1,1,1,1,1
0.1,2,2,1,1,1,1,1,1,1,1,2,1
0.1,1,1,1,1,2,2,1,1,1,1,1,1
0.1,1,1,1,1,1,1,1,1,1,1,1,1
0.1,2,1,2,2,2,2,1,1,1,1,1,1
,,,,,,,,,,,,
Num_Avgd_SPs,Max_SP_Consistency,Avgd_SPs,Avgd_SP_range,Avgd_SP_rankRange,Num_Inconsistent,Consistency,WTRerror,WTR,WTRLoc,,,
1,1,0,0,0,0,1,0,0.1,External,,,
2,0.75,0.17692307692307693;0.,0.076923077,2,4,0.666666667,3.776923077,0.138461538,Internal,,,
1,0.833333333,0,0,0,2,0.833333333,1.514285714,0.1,Internal,,,
1,1,0,0,0,0,1,0,0.1,External,,,
1,0.583333333,0,0,0,5,0.583333333,6.014285714,0.1,Internal,,,
