Subject,Scale_Label,Player_1-Player_2,Scale_Length,Ratio_0,Ratio_1,Ratio_2,Ratio_3,Ratio_4,Ratio_5,Ratio_6,Ratio_7,Ratio_8,Ratio_9,Ratio_10,Ratio_11,SwitchPoint_0,SwitchPoint_1,SwitchPoint_2,SwitchPoint_3,SwitchPoint_4,SwitchPoint_5,SwitchPoint_6,SwitchPoint_7,SwitchPoint_8,SwitchPoint_9,SwitchPoint_10,SwitchPoint_11,SwitchPoint_12,Choice_0,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6,Choice_7,Choice_8,Choice_9,Choice_10,Choice_11,Num_Avgd_SPs,Max_SP_Consistency,Avgd_SPs,Avgd_SP_range,Avgd_SP_rankRange,Num_Inconsistent,Consistency,WTRerror,WTR,Scale_Label,Player_1-Player_2,Scale_Length,Ratio_0,Ratio_1,Ratio_2,Ratio_3,Ratio_4,Ratio_5,Ratio_6,Ratio_7,Ratio_8,Ratio_9,Ratio_10,Ratio_11,SwitchPoint_0,SwitchPoint_1,SwitchPoint_2,SwitchPoint_3,SwitchPoint_4,SwitchPoint_5,SwitchPoint_6,SwitchPoint_7,SwitchPoint_8,SwitchPoint_9,SwitchPoint_10,SwitchPoint_11,SwitchPoint_12,Choice_0,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6,Choice_7,Choice_8,Choice_9,Choice_10,Choice_11,Num_Avgd_SPs,Max_SP_Consistency,Avgd_SPs,Avgd_SP_range,Avgd_SP_rankRange,Num_Inconsistent,Consistency,WTRerror,WTR,Scale_Label,Player_1-Player_2,Scale_Length,Ratio_0,Ratio_1,Ratio_2,Ratio_3,Ratio_4,Ratio_5,Ratio_6,Ratio_7,Ratio_8,Ratio_9,Ratio_10,Ratio_11,SwitchPoint_0,SwitchPoint_1,SwitchPoint_2,SwitchPoint_3,SwitchPoint_4,SwitchPoint_5,SwitchPoint_6,SwitchPoint_7,SwitchPoint_8,SwitchPoint_9,SwitchPoint_10,SwitchPoint_11,SwitchPoint_12,Choice_0,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6,Choice_7,Choice_8,Choice_9,Choice_10,Choice_11,Num_Avgd_SPs,Max_SP_Consistency,Avgd_SPs,Avgd_SP_range,Avgd_SP_rankRange,Num_Inconsistent,Consistency,WTRerror,WTR
4004,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,1,1,1,1,1,1,1,1,2,1,2,0.9166666666666666,0.17692307692307693;0.,0.07692307692307693,2.0,2,0.8333333333333334,0.05384615384615385,0.13846153846153847,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.,0.0,0.0,0,1.0,0.0,0.1,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,1,1,1,2,1,1,1,1,1,1,1,0.9166666666666666,0.,0.0,0.0,1,0.9166666666666666,0.6142857142857143,0.1
7001,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2,1,2,2,1,2,1,2,1,1,1,1,1,0.5833333333333334,0.,0.0,0.0,5,0.5833333333333334,5.514285714285714,0.1,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2,2,1,1,1,1,1,1,1,1,2,1,2,0.75,0.17692307692307693;0.,0.07692307692307693,2.0,4,0.6666666666666666,3.776923076923077,0.13846153846153847,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2,2,1,1,2,1,1,2,2,2,1,1,1,0.5833333333333334,0.5,0.0,0.0,5,0.5833333333333334,4.196153846153846,0.55
7002,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,1,2,2,1,2,1,1,1,1,1,1,0.75,0.,0.0,0.0,3,0.75,2.5,0.1,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,1,1,2,2,1,1,1,1,1,1,1,0.8333333333333334,0.,0.0,0.0,2,0.8333333333333334,1.5142857142857142,0.1,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.,0.0,0.0,0,1.0,0.0,0.1
7003,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,1,1,1,1,2,1,1,1,1,1,1,0.9166666666666666,0.,0.0,0.0,1,0.9166666666666666,0.5,0.1,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.,0.0,0.0,0,1.0,0.0,0.1,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.,0.0,0.0,0,1.0,0.0,0.1
7005,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2,2,1,2,2,1,2,1,1,1,1,1,1,0.5833333333333334,0.,0.0,0.0,5,0.5833333333333334,6.3,0.1,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2,1,2,2,2,2,1,1,1,1,1,1,1,0.5833333333333334,0.,0.0,0.0,5,0.5833333333333334,6.014285714285714,0.1,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2,1,2,2,2,1,1,1,1,1,1,1,1,0.6666666666666666,0.,0.0,0.0,4,0.6666666666666666,5.4,0.1
7006,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2,2,2,2,1,1,1,1,1,1,2,2,1,0.6666666666666666,0.1769230769230769,0.0,0.0,4,0.6666666666666666,5.892307692307693,0.17692307692307693,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,2,2,1,2,1,1,2,1,1,1,1,0.6666666666666666,0.,0.0,0.0,4,0.6666666666666666,3.247619047619047,0.1,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2,1,2,2,1,2,2,2,1,1,1,2,2,0.5833333333333334,2.2;1.,0.6000000000000001,2.0,6,0.5,6.3128205128205135,1.9000000000000001
7007,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2,2,1,2,2,1,2,2,2,1,1,2,1,0.6666666666666666,2.,0.0,0.0,4,0.6666666666666666,6.3318681318681325,2.2,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,1,1,2,2,2,1,1,1,1,1,1,0.75,0.,0.0,0.0,3,0.75,2.0142857142857142,0.1,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2,1,2,1,1,1,2,1,2,1,2,2,3,0.6666666666666666,0.6571428571428571;0.41666666666666663;0.1769230769230769,0.4802197802197802,4.0,4,0.6666666666666666,3.166178266178266,0.41691086691086693
7008,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2,1,1,2,2,1,1,1,2,1,1,1,1,0.6666666666666666,0.,0.0,0.0,4,0.6666666666666666,4.333333333333334,0.1,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2,1,1,1,1,1,1,1,2,1,1,1,1,0.8333333333333334,0.,0.0,0.0,2,0.8333333333333334,2.3333333333333335,0.1,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2,1,1,2,2,1,1,1,1,1,1,1,1,0.75,0.,0.0,0.0,3,0.75,4.1000000000000005,0.1
7010,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.,0.0,0.0,0,1.0,0.0,0.1,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.,0.0,0.0,0,1.0,0.0,0.1,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,1,1,2,1,1,1,1,1,1,1,1,0.9166666666666666,0.,0.0,0.0,1,0.9166666666666666,0.9,0.1
7011,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2,2,1,2,2,2,2,1,2,1,2,1,1,0.6666666666666666,2.,0.0,0.0,4,0.6666666666666666,6.6,2.2,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2,2,2,1,2,1,2,1,2,2,2,2,1,0.75,2.,0.0,0.0,3,0.75,4.185714285714286,2.2,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2,2,1,2,2,2,2,2,2,2,2,2,1,0.9166666666666666,2.,0.0,0.0,1,0.9166666666666666,0.8000000000000003,2.2
